Date,Predictions
10/15/2021,2802.860569
10/16/2021,2269.857505
10/17/2021,2477.744668
10/18/2021,2766.663013
10/19/2021,2374.425065
10/20/2021,4186.387537
10/21/2021,2634.951845
10/22/2021,3224.682559
10/23/2021,2642.151347
10/24/2021,2855.062263
10/25/2021,3131.294792
10/26/2021,2468.950334
10/27/2021,4471.224372
10/28/2021,4372.35381
10/29/2021,2449.15158
10/30/2021,4226.552542
10/31/2021,2639.506497
11/1/2021,2433.130133
11/2/2021,2574.029731
11/3/2021,4442.456955
11/4/2021,3804.283222
11/5/2021,3462.759222
11/6/2021,3693.313457
11/7/2021,2953.077815
11/8/2021,2977.109628
11/9/2021,4365.606649
11/10/2021,3207.050996
11/11/2021,2557.404809
11/12/2021,4457.36409
11/13/2021,3246.826097
11/14/2021,3909.518295
11/15/2021,2895.409423
11/16/2021,2839.787382
11/17/2021,2721.421212
11/18/2021,2278.46804
11/19/2021,2782.982241
11/20/2021,3380.382097
11/21/2021,2514.857856
11/22/2021,2365.21842
11/23/2021,2941.804361
11/24/2021,3470.124927
11/25/2021,4515.032184
11/26/2021,4251.402609
11/27/2021,3916.721424
11/28/2021,2659.264564
11/29/2021,2976.546501
11/30/2021,3184.459712
12/1/2021,4439.677857
12/2/2021,2751.491075
12/3/2021,2279.159009
12/4/2021,4203.515927
12/5/2021,3727.249025
12/6/2021,2951.284001
12/7/2021,2811.795729
12/8/2021,2872.684105
12/9/2021,2426.051536
12/10/2021,2344.695696
12/11/2021,2737.900276
12/12/2021,2884.65726
12/13/2021,3286.42364
12/14/2021,3556.619058
12/15/2021,2395.491481
12/16/2021,4146.902405
12/17/2021,2874.484348
12/18/2021,3965.500935
12/19/2021,2931.243005
12/20/2021,4194.48325
12/21/2021,3075.126302
12/22/2021,4523.852405
12/23/2021,3225.668837
12/24/2021,2882.052459
12/25/2021,2792.772529
12/26/2021,3809.208486
12/27/2021,3695.511017
12/28/2021,2475.638098
12/29/2021,2489.386312
12/30/2021,2789.622108
12/31/2021,2276.460027
1/1/2022,2659.144689
1/2/2022,2641.108784
1/3/2022,2630.484695
1/4/2022,2878.235634
1/5/2022,3092.323678
1/6/2022,2681.727468
1/7/2022,4473.008432
1/8/2022,2730.306062
1/9/2022,2904.995922
1/10/2022,2493.232721
1/11/2022,3005.172806
1/12/2022,2439.452441
1/13/2022,4164.267064
1/14/2022,2837.779266
1/15/2022,2887.697392
1/16/2022,4152.88319
1/17/2022,3276.131429
1/18/2022,2825.744917
1/19/2022,4499.406083
1/20/2022,2786.268122
1/21/2022,3237.044399
1/22/2022,2991.97159
1/23/2022,2551.546468
1/24/2022,2650.687408
1/25/2022,3665.356416
1/26/2022,3913.595217
1/27/2022,4240.707271
1/28/2022,2597.938674
1/29/2022,2822.304271
1/30/2022,3006.55951
1/31/2022,2815.722129
2/1/2022,4396.786824
2/2/2022,3166.87764
2/3/2022,2349.863199
2/4/2022,2856.813813
2/5/2022,2695.505675
2/6/2022,2774.079718
2/7/2022,2505.972782
2/8/2022,2783.940197
2/9/2022,2705.384481
2/10/2022,2979.092968
2/11/2022,3805.583863
2/12/2022,3684.882254
2/13/2022,4439.975762
2/14/2022,2843.518017
2/15/2022,2507.953119
2/16/2022,2569.790991
2/17/2022,3930.271319
2/18/2022,2731.537858
2/19/2022,2976.649645
2/20/2022,2760.081022
2/21/2022,3006.334795
2/22/2022,4232.517628
2/23/2022,2362.892642
2/24/2022,2781.884318
2/25/2022,3279.304018
2/26/2022,2695.829303
2/27/2022,3111.410922
2/28/2022,3165.804177
3/1/2022,4402.960224
3/2/2022,3939.141739
3/3/2022,4357.975676
3/4/2022,3436.715583
3/5/2022,2383.76353
3/6/2022,2444.003975
3/7/2022,2881.585909
3/8/2022,2839.804989
3/9/2022,2983.964532
3/10/2022,3012.754168
3/11/2022,2773.723911
3/12/2022,3443.958834
3/13/2022,2963.092797
3/14/2022,3517.451904
3/15/2022,3736.779173
3/16/2022,3665.343263
3/17/2022,2681.611281
3/18/2022,2632.599545
3/19/2022,3142.20193
3/20/2022,2852.192328
3/21/2022,2578.475803
3/22/2022,4399.771783
3/23/2022,2312.020308
3/24/2022,2801.717341
3/25/2022,4365.989427
3/26/2022,2754.222448
3/27/2022,2707.207981
3/28/2022,4127.403052
3/29/2022,4476.039375
3/30/2022,3221.609605
3/31/2022,2613.244559
4/1/2022,2706.093791
4/2/2022,2952.794945
4/3/2022,2498.730024
4/4/2022,2925.896875
4/5/2022,3630.45688
4/6/2022,2336.398625
4/7/2022,2913.609178
4/8/2022,2691.272751
4/9/2022,2270.324009
4/10/2022,3038.465635
4/11/2022,2477.553563
4/12/2022,3849.718545
4/13/2022,2929.930868
4/14/2022,2918.367125
4/15/2022,2862.637618
4/16/2022,2349.191335
4/17/2022,2353.848351
4/18/2022,2761.430945
4/19/2022,2428.514557
4/20/2022,2782.950176
4/21/2022,3405.512699
4/22/2022,4290.681873
4/23/2022,3936.924555
4/24/2022,2783.583857
4/25/2022,3223.622706
4/26/2022,2443.498808
4/27/2022,2709.614658
4/28/2022,2743.977262
4/29/2022,3695.469271
4/30/2022,2989.664992
5/1/2022,2269.948268
5/2/2022,2887.601268
5/3/2022,2641.969663
5/4/2022,2528.773846
5/5/2022,2737.850001
5/6/2022,4208.665115
5/7/2022,2751.779249
5/8/2022,4397.984942
5/9/2022,2809.396045
5/10/2022,2789.7642
5/11/2022,2672.12073
5/12/2022,2732.250242
5/13/2022,2923.679771
5/14/2022,2357.51155
5/15/2022,3724.263887
5/16/2022,3999.294079
5/17/2022,3045.963029
5/18/2022,2295.992062
5/19/2022,3505.438453
5/20/2022,2726.736867
5/21/2022,3327.846594
5/22/2022,3829.424022
5/23/2022,2862.532151
5/24/2022,2747.093136
5/25/2022,2878.402723
5/26/2022,3132.873132
5/27/2022,3793.08064
5/28/2022,2573.349397
5/29/2022,2398.539583
5/30/2022,2550.630641
5/31/2022,2833.641701
6/1/2022,2602.523794
6/2/2022,4428.716241
6/3/2022,3662.549381
6/4/2022,2514.000492
6/5/2022,3470.150473
6/6/2022,2428.758776
6/7/2022,3121.407764
6/8/2022,2367.675119
6/9/2022,2823.123386
6/10/2022,2650.730481
6/11/2022,3441.189902
6/12/2022,2858.32413
6/13/2022,2879.764544
6/14/2022,4200.138128
6/15/2022,3225.203866
6/16/2022,3088.807655
6/17/2022,3275.6032
6/18/2022,2995.660371
6/19/2022,2656.190314
6/20/2022,2390.194477
6/21/2022,3359.954059
6/22/2022,3051.211673
6/23/2022,3400.01004
6/24/2022,4226.872298
6/25/2022,3928.870781
6/26/2022,2767.768749
6/27/2022,2468.045517
6/28/2022,2926.204533
6/29/2022,3831.128811
6/30/2022,2713.069986
7/1/2022,2894.211405
7/2/2022,2711.781814
7/3/2022,2807.083039
7/4/2022,2689.159284
7/5/2022,2840.348164
7/6/2022,2809.803625
7/7/2022,2907.32061
7/8/2022,2873.606829
7/9/2022,4295.291229
7/10/2022,2440.009317
7/11/2022,3080.036415
7/12/2022,3350.503852
7/13/2022,3468.995759
7/14/2022,3940.319439
7/15/2022,2950.581814
7/16/2022,3120.702835
7/17/2022,3390.551493
7/18/2022,4349.55619
7/19/2022,3958.543654
7/20/2022,3139.72799
7/21/2022,2784.594378
7/22/2022,2399.067663
7/23/2022,2733.448255
7/24/2022,3285.149844
7/25/2022,3770.846743
7/26/2022,2552.701049
7/27/2022,2604.130506
7/28/2022,2497.984217
7/29/2022,4489.408729
7/30/2022,4422.424252
7/31/2022,2898.728502
8/1/2022,2825.055812
8/2/2022,2931.436065
8/3/2022,4202.844151
8/4/2022,2498.287668
8/5/2022,3963.372624
8/6/2022,2388.552816
8/7/2022,2839.479166
8/8/2022,2388.366127
8/9/2022,2681.780156
8/10/2022,3699.661349
8/11/2022,3022.370556
8/12/2022,3274.484486
8/13/2022,2907.354717
8/14/2022,3700.760661
8/15/2022,2926.161052
8/16/2022,2635.808893
8/17/2022,2909.481979
8/18/2022,2924.462773
8/19/2022,2900.507495
8/20/2022,2436.022573
8/21/2022,3588.429028
8/22/2022,2727.897352
8/23/2022,2885.733807
8/24/2022,2615.57106
