,rf predicted prices
0,642.224951
1,618.0996088
2,3175.155573
3,3220.779237
4,1591.924034
5,1833.208746
6,992.7823891
7,1588.897388
8,698.498342
9,3007.795325
10,289.5076588
11,725.8685456
12,3482.656566
13,1735.375795
14,306.0014503
15,1754.577897
16,809.4771949
17,429.645756
18,372.2838869
19,382.7985301
20,3075.437186
21,1447.985301
22,3684.01586
23,577.4057221
24,2738.154104
25,810.0909674
26,3099.669455
27,743.9713834
28,3401.295229
29,3457.294843
30,464.4749624
31,3061.869609
32,314.0296333
33,787.5958129
34,3278.228393
35,1891.284703
36,371.0572135
37,303.4410134
38,1699.466148
39,2451.625888
40,1822.646782
41,1578.401365
42,3386.808752
43,907.6992632
44,292.9593673
45,306.3738409
46,462.2420841
47,423.1501059
48,2043.378712
49,3443.81154
50,835.690998
51,1974.958185
52,982.2571085
53,722.4833804
54,1822.800627
55,1500.519486
56,3184.685278
57,322.0828444
58,725.457585
59,1883.689738
60,306.1294483
61,2783.9384
62,632.8350691
63,1830.040178
64,3443.725072
65,771.7144327
66,3692.844778
67,771.528101
68,384.9556173
69,296.108657
70,1138.185248
71,2407.54289
72,559.3540568
73,1764.558565
74,1791.020313
75,1741.607025
76,3287.025303
77,771.305185
78,896.7384264
79,766.0666068
80,324.7714504
81,787.5109829
82,797.4082366
83,1776.814405
84,3000.711622
85,296.2331733
86,1540.826828
87,1687.294133
88,1640.519491
89,1164.123136
90,1673.389424
91,768.6538917
92,1008.456126
93,845.6525255
94,746.1961186
95,3165.411949
96,3523.844445
97,625.1950918
98,629.2841062
99,3463.673378
100,3522.763612
101,539.5945557
102,1819.220934
103,1414.39824
104,531.6001802
105,1631.728129
106,531.9208647
107,1713.666114
108,3284.571721
109,3223.83355
110,526.7535511
111,1692.998599
112,3061.883485
113,3116.684313
114,3246.549867
115,3161.734423
116,1002.532709
117,3186.665491
118,1754.959928
119,425.7679443
120,3206.443426
121,1033.544666
122,1436.647339
123,3264.868056
124,2010.141126
125,2472.239115
126,433.2639958
127,812.4970082
128,496.4588629
129,768.5530383
130,978.3851776
131,3081.749301
132,3442.122362
133,3308.688318
134,1898.728193
135,3206.21615
136,3126.602428
137,808.5936199
138,785.2531023
139,1627.806427
140,953.3286103
141,517.9462989
142,746.5633297
143,1723.341905
144,3282.299113
145,779.9449877
146,842.1667462
147,3421.146102
148,3229.774128
149,899.0482191
150,987.2912363
151,1877.971825
152,1807.845361
153,1502.476174
154,3265.763136
155,727.4745502
156,3316.181696
157,311.7785899
158,626.3835348
159,3334.106129
160,988.5197139
161,3137.878035
162,989.7543243
163,440.0021985
164,1739.668633
165,1973.936662
166,1007.958315
167,2782.571047
168,1181.824828
169,3241.320133
170,426.9550129
171,3294.085606
172,1581.402135
173,1164.168285
174,848.1992059
175,595.2784889
176,306.0780729
177,1768.910853
178,1908.352623
179,951.4686172
180,1197.380361
181,2368.28098
182,1802.813775
183,995.7362472
184,3485.569114
185,3383.779417
186,948.3578268
187,824.6849488
188,3311.061075
189,619.3853284
190,828.8400845
191,3590.793029
192,434.251124
193,767.370218
194,3232.541794
195,671.572511
196,3261.420964
197,3182.1358
198,3136.677422
199,322.5665177
200,517.7799169
201,1796.793371
202,2310.458586
203,3093.432656
204,1251.325196
205,771.340914
206,422.4366587
207,3448.792771
208,852.5119079
209,1687.186205
210,1432.1518
211,1847.065179
212,1523.457954
213,3231.414165
214,1855.937399
215,842.2247218
216,3260.022187
217,1822.779324
218,1847.657914
219,537.2019346
220,387.4920258
221,1042.306927
222,771.3110926
223,1164.261144
224,3241.394975
225,761.603338
226,1773.727356
227,306.4615835
228,3300.512802
229,1990.389939
230,976.4198179
231,3102.145393
232,2718.628603
233,818.4557943
234,993.2725191
235,1877.987571
236,854.9004705
237,1859.389894
238,3505.805205
239,320.8471927
240,3379.991517
241,1603.13364
242,813.1950143
243,3522.406991
244,3114.856688
245,2556.214004
246,529.6891553
247,1119.134166
248,538.1495345
249,956.7079538
250,325.3738437
251,1771.862127
252,764.9564835
253,607.8533395
254,1527.342193
255,310.2174172
256,3488.140849
257,1974.516556
258,1547.505473
259,488.1468138
260,806.0877646
261,3331.024298
262,717.0020122
263,710.9324438
264,315.8509477
265,298.83236
266,760.3585933
267,3433.699505
268,825.5375434
269,1695.872463
270,374.2768806
271,3341.825994
272,626.2389633
273,1739.66459
274,1664.415586
275,826.659416
276,995.1713077
277,389.8643275
278,1939.824623
279,3415.616854
280,1640.49421
281,3407.952215
282,535.9374116
283,768.8023778
284,809.4586344
285,314.2272023
286,2407.30262
287,306.7791107
288,3263.015871
289,2142.631096
290,3383.638765
291,1990.305696
292,2646.535873
293,321.9618137
294,939.0685946
295,370.9482621
296,3199.511319
297,3219.502482
298,2910.514154
299,675.7133429
300,312.2612573
301,744.3383031
302,1863.859697
303,2469.823085
304,1136.014705
305,581.0877894
306,2373.123595
307,1843.361402
308,375.564421
309,1886.439226
310,1870.194421
311,318.323476
312,1765.241112
313,2325.428801
314,3224.012635
315,757.6313381
316,714.6865393
317,3353.84991
318,3528.262828
319,678.3704686
320,312.0378293
321,3333.07267
322,1787.953718
323,1761.863828
324,3718.337887
325,2785.928865
326,431.3728001
327,1572.159212
328,693.3858128
329,2760.243697
330,593.6654283
331,980.7797614
332,533.7835749
333,1856.152819
334,2572.963417
335,429.9840285
336,1008.426106
337,3417.102521
338,3400.572557
339,834.6421685
340,3407.84808
341,701.1954935
342,1785.556497
343,1670.571263
344,817.9151471
345,504.1170311
346,3379.623625
347,676.3074225
348,1131.379014
349,1602.746542
350,3306.102764
351,1674.858554
352,1803.373811
353,1891.340047
354,1858.978272
355,562.6367443
356,535.3119228
357,1840.564354
358,1925.965224
359,3577.268907
360,1823.006393
361,1907.49965
362,1753.097143
363,317.1704867
364,488.6838154
365,3311.408001
366,524.3359606
367,1869.81961
368,890.6886827
369,1990.244063
370,1495.827785
371,1898.8127
372,2449.378378
373,3638.865145
374,1786.082078
375,2469.000964
376,796.779851
377,1581.178293
378,574.1449151
